title,link,qualified
FULLSTACK PROGRAMMER WEB DEVELOPER,https://www.jobstreet.co.id/id/job/fullstack-programmer-web-developer-3842801?jobId=jobstreet-id-job-3842801&sectionRank=291&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['ASURANSI KESEHATAN', 'BPJS KESEHATAN', 'BPJS KETENAGAKERJAAN']"
IT Consultant,https://www.jobstreet.co.id/id/job/it-consultant-3834100?jobId=jobstreet-id-job-3834100&sectionRank=292&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"[""Candidate must possess at least Bachelors' Degree in Computer Science, Information System or related field from reputable University."", 'At least 3 years experiences in IT of hospital/medical devices or technology companies', 'Advance skill in software, proficiency with database language and program development.', 'Expert in network engineering & advance knowledge of hospital information system and data interface.', 'Able to do presentation and communicate in English.', 'Able to operate computer (Microsoft Office).']"
Flutter Developer,https://www.jobstreet.co.id/id/job/flutter-developer-3846446?jobId=jobstreet-id-job-3846446&sectionRank=293&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Coordinating with development teams to determine application requirements.', 'Writing scalable code using Xamarin / Flutter Framework', 'Testing and debugging applications.', 'Analyze, design and optimize database structure.', 'Developing back-end components.', 'Integrating user-facing elements using server-side logic.', 'Assessing and prioritizing client feature requests.', 'Integrating data storage solutions.', 'Coordinating with front-end developers.', 'Reprogramming existing databases to improve functionality.', 'Integrate to Laravel & MySQL web system']"
Data Analyst,https://www.jobstreet.co.id/id/job/data-analyst-3841933?jobId=jobstreet-id-job-3841933&sectionRank=294&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Bachelor degree from Computer Science, IT, Statistics / Mathematics, System Information or equivalent with GPA minimal 3.00', 'Good knowloedge in Graphic Design', 'Advance in Microsoft (Excel, Power Point, Word)', 'Fresh Graduate are welcome', 'Willing to be place in Head Office - Jakarta', 'Available to join as soon as possible']"
Software Developer,https://www.jobstreet.co.id/id/job/software-developer-3838580?jobId=jobstreet-id-job-3838580&sectionRank=295&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Exposure to new IT Technologies', 'Flexible working culture']"
Solution Architect,https://www.jobstreet.co.id/id/job/solution-architect-3845425?jobId=jobstreet-id-job-3845425&sectionRank=296&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Min bachelor degree majoring in engineering or science and technology', '1+ years of experience in the design and implementation of IT systems (cloud, security, applications)', '2 years in presales activity for ICT solutions for Financial Services Industry (FSI)', 'Experience as a pre-sales in IT infrastructure and applications systems such as Enterprise Apps, Cloud Native apps, Microservices, APIs, application modernization, data management, Infrastructure Automation (Infra as a Code), DevOps', 'Working knowledge of software development tools and methodologies', 'Presentation skills with a high degree of comfort speaking with CTOs, Enterprise Architects, IT Management, and developers', 'Strong written communication skills', 'High level of comfort communicating effectively across internal and external organizations', 'Technical degree (Computer Science or Engineering) or equivalent experience', 'Demonstrated ability to adapt to new technologies and learn quickly']"
IT Mobile Developer,https://www.jobstreet.co.id/id/job/it-mobile-developer-3827479?jobId=jobstreet-id-job-3827479&sectionRank=297&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Participate in the entire application lifecycle, focusing on coding and debugging.', 'Write clean code to develop functional mobile applications.', 'Troubleshoot and debug applications.', 'Perform UI tests to optimize performance.', 'Manage cutting-edge technologies to improve legacy applications.', 'Collaborate with UI/UX and Backend developers to integrate user-facing.', 'elements with server side logic.', 'Gather and address technical and design requirements.', 'Build reusable code and libraries for future use.', 'Liaise with developers, designers and system administrators to identify new features.', 'Follow emerging technologies.']"
DevOps Engineer,https://www.jobstreet.co.id/id/job/devops-engineer-3846507?jobId=jobstreet-id-job-3846507&sectionRank=298&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['full-remote working', 'financial benefits: medical insurance, BPJS TK, etc']"
Data Scientist,https://www.jobstreet.co.id/id/job/data-scientist-3844858?jobId=jobstreet-id-job-3844858&sectionRank=299&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['Bachelor degree majoring in IT, Statistic, Mathematic or related major', 'Minimum 5 years of working experience as Data Scientist', 'Familiar with Pyhton, SQL Server, AWS ""Sagemager"", and machine learning', 'Good communication in English', 'Has knowledge in machine learning']"
Technical Writer,https://www.jobstreet.co.id/id/job/technical-writer-3844960?jobId=jobstreet-id-job-3844960&sectionRank=300&token=0~85bdf32f-8942-4129-a221-52c53ca0dae1&fr=SRP%20Job%20Listing,"['\n\n\t\tEstablished in 1996, PT Erajaya Swasembada Tbk. (“Erajaya”) has grown beyond an integrated mobile telecommunication device importer, distributor and retailer, where the Company is also acknowledged as the largest and most trusted companies in its business in Indonesia.\n\n\t\tErajaya engages in the distribution and retail of mobile telecommunication devices, such as mobile phones and tablets, subscriber identity module card (SIM Card), mobile network operator voucher top-up, accessories, and gadgets such as computers and other electronic devices.\n\n\t\tBy the end of 2011, Erajaya executed initial public offering (IPO) corporate action by offering 31.7% of its shares. With ERAA ticker code, Erajaya is officially listed as Issuer at Indonesia Stock Exchange.\n\n\t\tIn September 2012, PT Eralink International, one of Erajaya’s majority shareholders released another 8.3% shares ownership to public that brought final shares ownership owned by public to 40.03% as end of 2012.\n\n\t\tErajaya has built strategic partnership with various distinguished global brands, in addition, the Company also ditributes Venera, a product of Erajaya. The Company, further, also cooperates with credible network operators in Indonesia for their products distribution.\n']"
UI/UX Developer,https://www.jobstreet.co.id/id/job/ui-ux-developer-3826445?jobId=jobstreet-id-job-3826445&sectionRank=2971&token=0~1603e71d-b38f-46bd-99f0-f6635ed636f2&fr=SRP%20Job%20Listing,"['Great Working Environment', 'Good Salary & Benefit', 'Great Career Advancement']"
IT Infrastructure/Network Engineer,https://www.jobstreet.co.id/id/job/it-infrastructure-network-engineer-3820564?jobId=jobstreet-id-job-3820564&sectionRank=2972&token=0~1603e71d-b38f-46bd-99f0-f6635ed636f2&fr=SRP%20Job%20Listing,[]
Lead Frontend Engineer,https://www.jobstreet.co.id/id/job/lead-frontend-engineer-3825698?jobId=jobstreet-id-job-3825698&sectionRank=2973&token=0~1603e71d-b38f-46bd-99f0-f6635ed636f2&fr=SRP%20Job%20Listing,"['Revamp user-facing omnichannel platform (integration from marketplace/ecommerce, accounting, selling, purchasing, and warehouse system).', 'Creating and Leading the Frontend architecture update and development.', 'Take ownership of Frontend codebase (with constantly improving its quality) and development of new features for web products.', 'Develop and maintain universal shared components used by the frontend engineer.', 'Design and write clean, testable, easily maintainable code.', 'Collaborate with UI/UX design, backend engineer, QA, PO teams to design, develop, and maintain new interfaces and products for best user experience.']"
WEB DEVELOPER,https://www.jobstreet.co.id/id/job/web-developer-3833831?jobId=jobstreet-id-job-3833831&sectionRank=2974&token=0~1603e71d-b38f-46bd-99f0-f6635ed636f2&fr=SRP%20Job%20Listing,[]
Network Operation Centre - Jakarta,https://www.jobstreet.co.id/id/job/network-operation-centre-jakarta-3822820?jobId=jobstreet-id-job-3822820&sectionRank=2975&token=0~1603e71d-b38f-46bd-99f0-f6635ed636f2&fr=SRP%20Job%20Listing,[]
ICT Staff (Jakarta),https://www.jobstreet.co.id/id/job/ict-staff-jakarta-3821576?jobId=jobstreet-id-job-3821576&sectionRank=2976&token=0~1603e71d-b38f-46bd-99f0-f6635ed636f2&fr=SRP%20Job%20Listing,['Support IT Operations.']
QA Engineer / Software Tester,https://www.jobstreet.co.id/id/job/qa-engineer-software-tester-3825829?jobId=jobstreet-id-job-3825829&sectionRank=2977&token=0~1603e71d-b38f-46bd-99f0-f6635ed636f2&fr=SRP%20Job%20Listing,"['Create\xa0and execute detailed, comprehensive and well-structured test plans and test cases', 'Estimate, prioritize, plan and coordinate testing activities', ""Learn product's flow and new features"", 'Control product releases from development to staging to production', 'Design, develop and execute automation scripts using open source tools', 'Identify, record, document thoroughly and track bugs', 'Perform thorough regression testing when bugs are resolved', 'Develop and apply testing processes for new and existing products to meet client needs', 'Liaise with internal teams (e.g. developers and product managers) to identify system requirements', 'Monitor debugging process results and investigate the causes of non-conforming software', 'Track quality assurance metrics, like defect densities and open defect counts', 'Stay up-to-date with new testing tools and test strategies', 'Identifying and resolving workflow and production issues.', 'Addressing and discussing issues and proposed solutions with superiors.', 'Documenting quality assurance activities and creating audit reports.', 'Making recommendations for improvement.']"
Artificial Intelligence (AI) Engineer,https://www.jobstreet.co.id/id/job/artificial-intelligence-ai-engineer-3812578?jobId=jobstreet-id-job-3812578&sectionRank=2978&token=0~1603e71d-b38f-46bd-99f0-f6635ed636f2&fr=SRP%20Job%20Listing,"['Work with business, engineering, and product teams to form an understanding of the requirements and processes of existing systems. Create deep learning and machine learning algorithms that can be applied to address business needs and provide business insights.', 'Apply advanced deep learning and machine learning techniques to form a deep understanding of customer behavior and products. Create decision-support and decision-making systems based on such learning results to improve business efficiency.', 'Participate in cutting-edge research in artificial intelligence (i.e), deep learning and machine learning algorithms and applications.', 'Define and drive a technical vision and strategies to integrate deep learning and machine learning algorithms into the existing production system and business decision making processes.']"
UI Designer,https://www.jobstreet.co.id/id/job/ui-designer-3813798?jobId=jobstreet-id-job-3813798&sectionRank=2979&token=0~1603e71d-b38f-46bd-99f0-f6635ed636f2&fr=SRP%20Job%20Listing,"['A competitive compensation package', 'Passionate colleagues and friends, global culture!', 'A strong commitment to your personal and professional growth']"
Business Process Automation & Innovation,https://www.jobstreet.co.id/id/job/business-process-automation-innovation-3812232?jobId=jobstreet-id-job-3812232&sectionRank=2980&token=0~1603e71d-b38f-46bd-99f0-f6635ed636f2&fr=SRP%20Job%20Listing,"['Scan & Analyze The Business Process and Explore Applicable Tools for Improvement and Automation.', 'Develop and Design New Business Process in Combination with Implementing RPA to make Process more Efficient.', 'Undertake Technology Supplier Evaluations in Support of Defining the Technology Supply Base and Scouting for New Technologies which will Provide Competitive Advantage.', 'Coordinate with Key Business Leaders to Build up Process Improvement and Automation Pipeline & Assessing Fit/Impact with New Technology Solutions.', 'To Apply Project Management in Compliance with Lean Methodologies to Ensure Controlled and Structured Implementations, as Well as Assisting in Planning and Execution of Project Tasks.', 'Develop Understanding of the Machine/Interfaces and Integratioin of End-to-End Machineries and Process to Ensure Optimum Solutions are Delivered.', 'Support The System & Technology, Robotic & Automation Skills Development.']"
SENIOR IT PROGRAMMER,https://www.jobstreet.co.id/id/job/senior-it-programmer-3822987?jobId=jobstreet-id-job-3822987&sectionRank=2981&token=0~1603e71d-b38f-46bd-99f0-f6635ed636f2&fr=SRP%20Job%20Listing,"['Kandidat harus memiliki setidaknya Gelar Sarjana di Teknik Informatika atau setara.', 'Pengalaman minimal 1\xa0tahun sebagai Senior Programmer', 'Mampu, memahami serta mengaplikasikan bahasa program PHP (LARAVEL), JavaScript (VUE JS)', 'Database: MySQL, SQL Server', 'Mampu membuat timeline pekerjaan', 'Mampu bekerja dalam tim serta individual', 'Mampu mengevaluasi dan mengembangkan sistem', 'Memiliki jiwa kepemimpinan\xa0', 'Memiliki sikap inisiatif, penuh integritas serta mampu bekerja di bawah tekanan', 'Memiliki pengalaman dalam pengaturan dan konfigurasi lingkungan di Linux', 'Memiliki pengalaman dalam teknologi cloud container seperti Docker', 'Memantau log yang berjalan di server.']"
